S.no,Date,Req_ID,Req Source,Skill,Location,Job Description,App Data,SM,BP Email,BP contact,IP/Tier1,End Client,Utilization Status,Total RC,Qualified,Req Status,Comment
1,08/03/26,W32030826-PP,LinkedIn,"SailPoint Developer","Piscataway, NJ","SailPoint Developer
Location:53 Knights Bridge Rd, Suite 277
Piscataway, NJ 08854

Job Title:
SailPoint Developer
Job Duties:
Develop enterprise IAM applications using Java, JavaScript, SailPoint IdentityIQ (IIQ), Oracle, and PL/SQL.
Design and implement IAM solutions for user provisioning, de-provisioning, authentication, and authorization.
Onboard enterprise applications into the SailPoint IIQ platform and integrate them with provisioning plans.
Collaborate with business and application teams to onboard applications into the identity governance platform for access certifications.
Develop workflows for approval, notification, and provisioning across connected and disconnected systems.
Perform application testing, validation, troubleshooting, and technical documentation.
Document solution designs and develop software components following established development standards.
Coordinate software installation, deployment, and implementation activities.
Work under supervision while supporting enterprise IAM initiatives.
Travel and/or relocate to unanticipated client sites throughout the United States as required.

Education:
Master&#39;s degree in Computer Science, Information Technology, Business, Mathematics, Engineering, or a closely related field with 6 months of relevant experience, OR
Bachelor&#39;s degree in Computer Science, Information Technology, Business, Mathematics, Engineering, or a related field with 5 years of progressive experience in a related IT role.
Experience:
Minimum 6 months of hands-on experience with SailPoint IdentityIQ (IIQ).
Experience in Identity and Access Management (IAM) development and application integration.
Willingness to travel and/or relocate to client sites throughout the United States.
Domestic travel may be required up to 100%, depending on project and client requirements. International travel is not required.

Required Skills:
SailPoint IdentityIQ (IIQ)
Java
JavaScript
Oracle Database
PL/SQL
Identity &amp; Access Management (IAM)
User Provisioning &amp; De-provisioning
Authentication &amp; Authorization
Workflow Development
Access Certification
Application Integration
Software Testing
Technical Documentation
","Tarun has applied Sonam  through abc@anangersinc.com and did 1 RC, 0 Sub.
Tarun has applied Nileema  through abc@anangersinc.com and did 1 RC, 0 Sub.
",Tarun,abc@anangersinc.com,,,,Utilized,2,"Not Qualified","In process",
2,08/03/26,W32030826-PP,Posting,"Java Developer","O'Fallon, MO","Title: &ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;Java Backend Developer

Location: &ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;O&#39;Fallon, MO

Duration: &ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;6+ month contract

VISA: &ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;USC/EAD H4/EAD L2/H1B

Interview: &ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;Phone and Video

Client: &ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;TechM

Rate: &ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;&ensp;$45/hr CTC


Skills: Java 8



Job Summary:

We are seeking a skilled Software Developer with a strong background in Java, Spring Boot, Microservices, and Kafka. The ideal candidate will have a minimum of 5 years of experience in software development, with a proven track record of delivering high quality applications. This role requires a deep understanding of testing frameworks and cloud platforms such as PCF or Azure. The candidate must possess strong Java 8 skills, as this is a deal breaker for the position.



Responsibilities:

  Design, develop, and maintain scalable software applications using Java, Spring Boot, and Microservices architecture.

  Collaborate with cross functional teams to define, design, and ship new features.

  Implement user interfaces using Angular JS, ensuring a seamless user experience.

  Write unit and integration tests to ensure code quality and reliability.

  Participate in code reviews and provide constructive feedback to peers.

  Utilize cloud platforms (PCF/Azure) for application deployment and management.

  Stay updated with emerging technologies and industry trends to enhance development processes.



Mandatory Skills:

  Strong proficiency in Java 8.

  Experience with Spring Boot and Microservices architecture.

  Proficient in Angular JS for front end development.

  Familiarity with testing frameworks (JUnit, Mockito, etc.).

  Experience with cloud platforms, specifically PCF or Azure.



Preferred Skills:

  Knowledge of containerization technologies (Docker, Kubernetes).

  Experience with Agile methodologies and DevOps practices.

  Familiarity with RESTful APIs and web services.

  Understanding of database technologies (SQL, NoSQL).

  Excellent problem-solving skills and attention to detail.



Qualifications:

  Bachelor&rsquo;s degree in computer science, Information Technology, or a related field.

  5 7 years of professional experience in software development.

  Strong communication skills and ability to work collaboratively in a team environment.

  Proven ability to manage multiple tasks and meet deadlines.
","Tarun has applied Sanjog  through manzoor.khan@blackrockgrps.com and did 0 RC, 0 Sub.
",Tarun,manzoor.khan@blackrockgrps.com,,,,Unutilized,0,"Not Qualified","No Number","Tarun: Not connected at 2026-08-03 17:31:36
"
3,08/03/26,W32030826-PP,Posting,"Java Developer","Chicago, IL (Remote)","Position: Java Backend developer

Location: Chicago, IL (Remote)



&ldquo;PLEASE SHARE PROFILES&rdquo; (WITH DL and LinkedIn Profile Link)


","Tarun has applied Abhishek through khaja@conq-tech.com and did 0 RC, 0 Sub.
",Tarun,khaja@conq-tech.com,3024030872,,,Unutilized,0,"Not Qualified","Not Connected","Tarun: Not connected at 2026-08-03 17:31:29
"
4,08/03/26,W32030826-PP,Posting,"Java Developer","Richfield, MN Onsite","It is located in Richfield, MN

Tell us about your department:
.
The Retail Media Network (RMN) is responsible for enabling advertisers to promote products across our digital ecosystem, including web and mobile platforms. RMN drives monetization by delivering sponsored ads, managing campaign performance, optimizing targeting, and ensuring accurate reporting and billing. The department works cross-functionally with Ads, Payments, Analytics, and Platform teams to provide a seamless advertiser experience.

Project Description:
The Billing team within RMN owns the end-to-end billing lifecycle for sponsored campaigns. This includes:
&bull;Budget management and allocation
&bull;Spend tracking and reconciliation
&bull;revenue calculations
&bull;Invoice generation and adjustments
&bull;Integration with Payments and Finance systems
&bull;Real-time and near-real-time spend reporting
The team ensures financial accuracy, transparency, and scalability of the billing platform while supporting high-volume ad delivery.

Position Summary/Job Description:

In this role, they will be a critical member of the team building the foundation for Best Buy&#39;s next generation web platform. They will support and extend running applications &amp; assist in the design and development of new applications. They will be expected to evaluate and refactor in a rapid manner for every part of our infrastructure. Overall knowledge of designing an application to run on a scalable platform is expected. You will be working in an agile environment which means test-driven development and pair programming. We are evolving towards a dev/ops model, with our development teams engaged in monitoring, optimizing and supporting our production environments. We have many projects running in parallel including Cloud technologies, Infrastructure automation, and SOA REST based web applications.
Responsibilities:
&bull; Developing Java/Spring web applications
&bull; Aggressive refactoring
&bull; High comfort level with Unix/Linux command line
&bull; Object Oriented Programming and Service Oriented Architecture design

Skills Overview:

&bull; 7-10 years of relevant application software development experience
&bull; Test-Driven Development
&bull; Strong Spring knowledge
&bull; Developing Spring/Java/Groovy/Maven applications
&bull; Experience in developing/consuming REST Services &ndash; Absolute Must
&bull; Object-oriented programming and experience with working knowledge of Design Patterns
&bull; Experience with emergent design and paired programming
&bull; High comfort level with Unix/Linux command line
&bull; Strong unit-testing skills (Junit/Spock in particular)
&bull; Comfortable with database (DB) and Kafka-related development, including design, implementation, troubleshooting, and performance optimization.
&bull; Experience with large-scale distributed systems and client-server architectures
&bull; Able to participate in the planning process: take high level design discussions and create user stories, then further break those stories into tasks.

","Tarun has applied Abhishek through ankur.sharma@talentemail.com and did 0 RC, 0 Sub.
",Tarun,ankur.sharma@talentemail.com,9524177785,,"Best Buy",Unutilized,0,"Not Qualified",Rejected,"Tarun: Need local candidate only at 2026-08-03 17:31:21
"
5,08/03/26,W32030826-PP,Posting,"Data Engineer","New york City, NY/ Pittsburgh, PA – Hybrid","Position: Data Engineer

Location: New york City, NY/ Pittsburgh, PA &ndash; Hybrid (3 days onsite &ndash; 2 days remote)

Long Term Contract





Primary Skills: Python, SQL Server, Snowflake, Power BI

Nice to have: CI/CD, GitHub Workflows and Cloud Platform (preferred Azure)



We are seeking a highly skilled Full Stack Data Engineer to join our team. This role focuses on designing, developing, and supporting modern data solutions across a cloud-based data stack. The ideal candidate is highly self-motivated, resourceful, and capable of building scalable data pipelines, frameworks, and full stack data applications leveraging Snowflake, Python, SQL, and modern DevOps practices.



Key responsibilities

  Develop and maintain scalable ELT pipelines and data workflows
  Design and implement data models and warehouse structures
  Build full stack data applications and backend services
  Develop Snowflake-based data solutions within cloud environments
  Write high-quality Python and SQL code
  Implement automated testing frameworks
  Develop reusable data engineering frameworks
  Build and maintain CI/CD pipelines using GitHub
  Create reporting and visualization solutions (e.g., Power BI)
  Monitor and resolve production issues ensuring data reliability
  Experience with automated testing and framework development



Key Competencies

  Dagster orchestration
  dbt transformations
  Gurobi optimization solver
  Elementary data validation
  Retool development
  GoAnywhere MFT
  Power BI and DAX
  Azure services (ADF, Synapse, Key Vault)
  Snowflake ML/AI or R
  SQL Server, SSIS, SSRS
  Financial services domain experience
  Agile methodologies
  Highly self-motivated with strong ownership
  Extreme personal initiative
  Ability to work independently and in teams
  Highly resourceful problem solver
  Strong communication and analytical skills
  Ability to manage priorities in fast-paced environments


","Tarun has applied Sagar  through ramdas@arthurgrand.com and did 0 RC, 0 Sub.
",Tarun,ramdas@arthurgrand.com,,,,Unutilized,0,"Not Qualified",Rejected,"Tarun: Need local, F2F interview at 2026-08-03 17:30:53
"
6,08/03/26,W32030826-PP,Inbox,"SailPoint Developer","San Francisco, CA onsite","Job Title: Senior SailPoint Developer

Location : San Francisco, CA onsite

Job Type: Contract

Client: TCS

Job Description:

The Senior SailPoint Developer will be responsible for designing, developing, and maintaining identity governance solutions using SailPoint IdentityIQ (IIQ). This role involves implementing complex integrations, automating identity lifecycle management, and ensuring compliance with security and audit standards. The candidate will collaborate with architects, operations, and application teams to deliver scalable IAM solutions.

Key Responsibilities:

&bull; Design, develop, and deploy SailPoint IdentityIQ components, including workflows, rules, forms, and reports.

&bull; Implement and maintain joiner&ndash;mover&ndash;leaver (JML) processes.

&bull; Develop and customize connectors for integration with enterprise systems (e.g., AD, Azure AD, SAP, ServiceNow, Workday).

&bull; Build and enforce access certifications, SoD policies, and role-based access controls (RBAC).

&bull; Troubleshoot provisioning, aggregation, and synchronization issues across integrated systems.

&bull; Collaborate with application owners to onboard new applications into IIQ.

&bull; Support patching, upgrades, and performance optimization of IIQ environments.

&bull; Conduct code reviews, ensure adherence to best practices, and mentor junior developers.

&bull; Work with IAM architects to translate business requirements into technical designs.

&bull; Maintain documentation of solution design, workflows, and integrations.

Required Skills &amp; Experience

&bull; Strong hands-on experience with SailPoint IdentityIQ (v7.x or v8.x).

&bull; Proficiency in Java, Beanshell scripting, XML, and SQL.

&bull; Solid understanding of Identity Governance concepts &mdash; provisioning, aggregation, role management, policy enforcement, and certifications.

&bull; Experience with directory services (Active Directory, LDAP) and cloud platforms (Azure, AWS).

&bull; Knowledge of REST/SOAP APIs and integration patterns.

&bull; Experience in debugging, performance tuning, and error handling within IIQ.

&bull; Familiarity with CI/CD pipelines and DevOps practices for IAM code deployment.

&bull; Excellent analytical, communication, and documentation skills.

Preferred Qualifications:

&bull; SailPoint Certified IdentityIQ Engineer / Developer certification.

&bull; Experience with IdentityNow or hybrid IAM environments.

&bull; Exposure to security frameworks such as NIST, ISO 27001, or SOX.

&bull; Experience working in Agile or DevSecOps delivery models.

Soft Skills:

&bull; Strong problem-solving and analytical skills.

&bull; Ability to work independently and in cross-functional teams.

&bull; Commitment to delivering high-quality, secure, and scalable solutions.

&bull; Mentoring mindset for junior engineers and developers.
","Tarun has applied Ashok  through shivam.yadav@q1tech.com and did 0 RC, 0 Sub.
",Tarun,shivam.yadav@q1tech.com,,,TCS,Unutilized,0,"Not Qualified",Rejected,"Tarun: H1B candidate  only at 2026-08-03 17:30:27
"
7,08/03/26,W32030826-PP,"Google Groups","Java Developer","Phoenix AZ Onsite","ob Title: Java Developer

Work Location &amp; Reporting Address: 18850 N 56th St, Phoenix, Az 85054 ( Hybrid )

Visa: H1B, H4, L2EAD


Must Have Skills and JD
Design, develop, and maintain scalable Java-based applications
Write clean, efficient, and well-documented code
Participate in the full software development lifecycle (SDLC)
Collaborate with cross-functional teams (QA, DevOps, Product)
Troubleshoot and resolve technical issues and bugs
Optimize application performance and ensure security compliance
Develop and consume RESTful APIs and microservices
Conduct code reviews and mentor junior developers

Strong proficiency in Java (Java 8 or above)
Experience with Spring / Spring Boot / Hibernate
Good understanding of OOP concepts, design patterns, and data structures

Experience working with REST APIs and web services
Knowledge of databases such as MySQL, PostgreSQL, or Oracle
","Tarun has applied Abhishek through moumita.dey@nityo.com and did 0 RC, 0 Sub.
",Tarun,moumita.dey@nityo.com,,,,Unutilized,0,"Not Qualified","Not Connected","Tarun: Not connected at 2026-08-03 17:30:11
"
8,08/03/26,W32030826-PP,"Google Groups","DevOps Engineer",Remote,"Position: Senior DevOps Engineer
Location: Remote
Duration: 6+ Months Contract
Pay rate: $55/hr on C2C max

Job Description:  
Senior DevOps Engineer
&quot;Cloud &amp; Infrastructure
AWS (mandatory): ECS, EKS, Lambda, RDS, IAM, CloudFormation, CloudWatch Hybrid infrastructure experience with on‑prem VM, bare‑metal, and internal networking platforms
CI/CD &amp; Platform Engineering
GitHub Enterprise &amp; GitHub Actions (workflow design, reusable templates, runners, environments) CI/CD orchestration across hybrid AWS and on‑prem topologies Artifact versioning, promotion, and immutability strategies
Containers &amp; Orchestration
Docker image design, optimization, and security hardening Kubernetes (EKS + on‑prem) deployment patterns, scaling, and lifecycle management
Testing, Analysis &amp; Release Safety
Automated testing frameworks for unit, integration, regression, and performance Static and dynamic analysis tools (code quality, security, dependency scanning) Feature flag management platforms (or equivalent internal capability)
Database &amp; Data Management
Hands‑on expertise with Oracle and Microsoft SQL Server (mandatory) Schema migration tooling and automated rollback strategies Data masking, anonymization, and controlled refresh automation
Observability &amp; Reliability Engineering
Metrics, logging, and tracing using Prometheus, Splunk, New Relic, Grafana, CloudWatch, OpenTelemetry, and ELK SLO‑driven alerting and deployment health evaluation (Uptrends &amp; PagerDuty) Automated rollback and failure containment mechanisms
Security &amp; Secrets Management
Secrets management using HashiCorp Vault, AWS Secrets Manager, or equivalent Secure pipeline design with controlled credential access Compliance‑ready logging, approvals, and traceability&quot;
&ldquo;CI/CD Platform &amp; Environment Strategy
Design, implement, and operate a standardized CI/CD framework supporting Dev, QA, PartnerLab, Staging, and Production environments Define promotion workflows with enforced quality gates and artifact immutability Establish PartnerLab as a dedicated integration and validation environment with no direct promotion path to Production Enable environment parity across AWS and on‑premises systems
Progressive Delivery &amp; Release Engineering Implement feature flags, canary deployments, blue‑green strategies, and phased rollouts Enable automated rollback based on health checks, error rates, and SLO breaches Support release traceability from commit through production deployment
Test Automation &amp; Quality Engineering
Integrate unit, integration, regression, security, and performance testing into CI/CD pipelines Enforce automated quality gates prior to environment promotion Support manual validation workflows with controlled access, observability, and test artifacts
Database &amp; Data Automation
Automate database schema versioning, migrations, rollbacks, and validation Implement lower‑environment refresh pipelines sourced from production data Enforce data masking and PII anonymization for all non‑production environments Validate data integrity and consistency post‑refresh
Observability, Reliability &amp; Operations
Define and enforce observability standards across logs, metrics, and traces Implement service health dashboards, alerting, and incident signals Integrate deployment health into automated release decisions Support on‑call readiness, incident response, and post‑incident learning
Security, Governance &amp; Compliance
Embed security scanning, secrets management, and access controls into pipelines Enforce least‑privilege IAM, credential rotation, and artifact integrity verification Align CI/CD workflows with enterprise change management and audit requirements&quot;
&quot;AWS / Hybrid Infra / AWS Terraform / Github /Github action / Docker / Kubernetes DBA experience and worked on liquibase implementation.

Skills: AWS DevOps and Automation
Experience Required: 8-10
","Tanuja has applied Bhakta  through jyothi.s@itechus.net and did 0 RC, 0 Sub.
",Tanuja,jyothi.s@itechus.net,,,,Unutilized,0,"Not Qualified","Not Connected","Tanuja: Not Connected at 2026-08-03 17:46:49
Tanuja: Not Connected at 2026-08-03 17:53:00
"
9,08/03/26,W32030826-PP,Posting,"Java Developer","Phoenix, AZ","Job Title: Java Developer
Location: Phoenix, AZ 85054 (Hybrid)
Duration: 6 Months
Experience: 5+ Years

Job Summary
We are looking for an experienced Java Developer to design, develop, and maintain scalable Java applications. The ideal candidate should have strong experience with Java, Spring Boot, REST APIs, and databases, along with excellent problem-solving and client communication skills.

Required Skills
Strong experience with Java (Java 8 or above)
Experience with Spring Framework, Spring Boot, and Hibernate
Hands-on experience developing RESTful APIs and Microservices
Good knowledge of OOP concepts, Design Patterns, and Data Structures
Experience with MySQL, PostgreSQL, or Oracle
Familiarity with Agile/Scrum development methodology
Strong debugging and troubleshooting skills
Good communication and client interaction skills

Responsibilities
Design, develop, test, and maintain Java-based applications.
Build and enhance REST APIs and Microservices.
Participate in all phases of the Software Development Lifecycle (SDLC).
Collaborate with Product Owners, QA, DevOps, and business teams.
Troubleshoot and resolve application issues.
Optimize application performance and ensure code quality.
Conduct code reviews and mentor junior developers.
Work directly with the client to understand and deliver business requirements.
","Tanuja has applied Sanjog  through manisharma@eteaminc.com and did 0 RC, 0 Sub.
Tanuja has applied Manish  through manisharma@eteaminc.com and did 0 RC, 0 Sub.
",Tanuja,manisharma@eteaminc.com,,,,Unutilized,0,"Not Qualified",Rejected,"Tanuja: Need local consultants at 2026-08-03 17:47:07
Tanuja: Need local consultants at 2026-08-03 17:53:20
"
10,08/03/26,W32030826-PP,"Google Groups","SailPoint Developer","San Francisco, CA","Role: Senior SailPoint (IdentityIQ) Developer
Location: San Francisco, CA - onsite
Duration: 6+ months

The Senior SailPoint Developer will be responsible for designing, developing, and maintaining identity governance solutions using SailPoint IdentityIQ (IIQ). This role involves implementing complex integrations, automating identity lifecycle management, and ensuring compliance with security and audit standards. The candidate will collaborate with architects, operations, and application teams to deliver scalable IAM solutions.

Key Responsibilities
&bull; Design, develop, and deploy SailPoint IdentityIQ components, including workflows, rules, forms, and reports.
&bull; Implement and maintain joiner&ndash;mover&ndash;leaver (JML) processes.
&bull; Develop and customize connectors for integration with enterprise systems (e.g., AD, Azure AD, SAP, ServiceNow, Workday).
&bull; Build and enforce access certifications, SoD policies, and role-based access controls (RBAC).
&bull; Troubleshoot provisioning, aggregation, and synchronization issues across integrated systems.
&bull; Collaborate with application owners to onboard new applications into IIQ.
&bull; Support patching, upgrades, and performance optimization of IIQ environments.
&bull; Conduct code reviews, ensure adherence to best practices, and mentor junior developers.
&bull; Work with IAM architects to translate business requirements into technical designs.
&bull; Maintain documentation of solution design, workflows, and integrations.

Required Skills &amp; Experience
&bull; Strong hands-on experience with SailPoint IdentityIQ (v7.x or v8.x).
&bull; Proficiency in Java, Beanshell scripting, XML, and SQL.
&bull; Solid understanding of Identity Governance concepts &mdash; provisioning, aggregation, role management, policy enforcement, and certifications.
&bull; Experience with directory services (Active Directory, LDAP) and cloud platforms (Azure, AWS).
&bull; Knowledge of REST/SOAP APIs and integration patterns.
&bull; Experience in debugging, performance tuning, and error handling within IIQ.
&bull; Familiarity with CI/CD pipelines and DevOps practices for IAM code deployment.
&bull; Excellent analytical, communication, and documentation skills.

Preferred Qualifications
&bull; SailPoint Certified IdentityIQ Engineer / Developer certification.
&bull; Experience with IdentityNow or hybrid IAM environments.
&bull; Exposure to security frameworks such as NIST, ISO 27001, or SOX.
&bull; Experience working in Agile or DevSecOps delivery models.

Soft Skills
&bull; Strong problem-solving and analytical skills.
&bull; Ability to work independently and in cross-functional teams.
&bull; Commitment to delivering high-quality, secure, and scalable solutions.
&bull; Mentoring mindset for junior engineers and developers.

","Tanuja has applied Sneh  through rajinikanth@smartfolksinc.com and did 0 RC, 0 Sub.
",Tanuja,rajinikanth@smartfolksinc.com,,,,Unutilized,0,"Not Qualified","Not Connected","Tanuja: Not Connected at 2026-08-03 17:47:25
Tanuja: Not Connected at 2026-08-03 17:52:49
"
